answer,guesses
aback,3
abase,2
abate,3
abbey,3
abbot,4
abhor,4
abide,4
abled,3
abode,3
abort,3
about,3
above,4
abuse,3
abyss,3
acorn,3
acrid,3
actor,4
acute,3
adage,3
adapt,3
adept,4
admin,4
admit,4
adobe,4
adopt,4
adore,3
adorn,4
adult,3
affix,4
afire,4
afoot,5
afoul,4
after,2
again,3
agape,4
agate,4
agent,4
agile,5
aging,3
aglow,5
agony,4
agree,2
ahead,4
aider,3
aisle,3
alarm,3
album,4
alert,3
algae,3
alibi,5
alien,3
align,3
alike,3
alive,4
allay,3
alley,2
allot,3
allow,3
alloy,4
aloft,4
alone,4
along,3
aloof,4
aloud,4
alpha,4
altar,3
alter,3
amass,3
amaze,4
amber,4
amble,4
amend,4
amiss,4
amity,3
among,4
ample,3
amply,3
amuse,3
angel,3
anger,5
angle,4
angry,4
angst,3
anime,4
ankle,5
annex,3
annoy,4
annul,3
anode,4
antic,3
anvil,4
aorta,3
apart,3
aphid,3
aping,4
apnea,4
apple,4
apply,4
apron,3
aptly,3
arbor,3
ardor,4
arena,4
argue,3
arise,2
armor,5
aroma,3
arose,3
array,3
arrow,4
arson,3
artsy,3
ascot,3
ashen,2
aside,4
askew,3
assay,3
asset,4
atoll,4
atone,3
attic,4
audio,4
audit,4
augur,4
aunty,4
avail,3
avert,4
avian,3
avoid,4
await,4
awake,5
award,4
aware,4
awash,4
awful,5
awoke,4
axial,3
axiom,4
axion,3
azure,5
bacon,3
badge,4
badly,3
bagel,4
baggy,4
baker,4
baler,5
balmy,4
banal,4
banjo,4
barge,2
baron,4
basal,4
basic,4
basil,3
basin,5
basis,3
baste,3
batch,4
bathe,5
baton,3
batty,5
bawdy,4
bayou,3
beach,4
beady,4
beard,4
beast,3
beech,2
beefy,3
befit,4
began,3
begat,4
beget,3
begin,4
begun,5
being,5
belch,4
belie,4
belle,5
belly,3
below,4
bench,3
beret,2
berry,3
berth,4
beset,2
betel,3
bevel,2
bezel,4
bible,3
bicep,3
biddy,4
bigot,4
bilge,3
billy,4
binge,3
bingo,3
biome,4
birch,4
birth,3
bison,4
bitty,5
black,4
blade,3
blame,4
bland,4
blank,3
blare,3
blast,4
blaze,5
bleak,4
bleat,3
bleed,3
bleep,4
blend,3
bless,3
blimp,4
blind,3
blink,4
bliss,4
blitz,5
bloat,3
block,4
bloke,4
blond,3
blood,4
bloom,3
blown,3
bluer,5
bluff,4
blunt,4
blurb,4
blurt,4
blush,3
board,4
boast,4
bobby,4
boney,3
bongo,3
bonus,4
booby,3
boost,4
booth,3
booty,4
booze,4
boozy,5
borax,3
borne,3
bosom,3
bossy,3
botch,4
bough,4
boule,3
bound,3
bowel,4
boxer,6
brace,3
braid,4
brain,4
brake,4
brand,5
brash,2
brass,3
brave,5
bravo,4
brawl,4
brawn,4
bread,4
break,3
breed,4
briar,3
bribe,4
brick,4
bride,3
brief,3
brine,4
bring,4
brink,4
briny,3
brisk,3
broad,4
broil,5
broke,4
brood,4
brook,3
broom,3
broth,5
brown,4
brunt,4
brush,3
brute,4
buddy,4
budge,4
buggy,5
bugle,3
build,3
built,4
bulge,3
bulky,4
bully,3
bunch,3
bunny,3
burly,4
burnt,3
burst,3
bused,3
bushy,4
butch,4
butte,4
buxom,4
buyer,4
bylaw,4
cabal,3
cabby,3
cabin,3
cable,3
cacao,4
cache,4
cacti,4
caddy,4
cadet,3
cagey,4
cairn,4
camel,3
cameo,5
canal,3
candy,3
canny,2
canoe,5
canon,3
caper,6
caput,5
carat,3
cargo,4
carol,5
carry,2
carve,3
caste,2
catch,5
cater,3
catty,5
caulk,4
cause,3
cavil,4
cease,2
cedar,3
cello,3
chafe,4
chaff,4
chain,3
chair,4
chalk,4
champ,5
chant,3
chaos,3
chard,3
charm,4
chart,5
chase,3
chasm,3
cheap,4
cheat,3
check,4
cheek,4
cheer,3
chess,4
chest,3
chick,4
chide,4
chief,3
child,4
chili,5
chill,6
chime,5
china,3
chirp,3
chock,4
choir,3
choke,4
chord,4
chore,4
chose,3
chuck,4
chump,4
chunk,4
churn,4
chute,3
cider,3
cigar,3
cinch,4
circa,3
civic,4
civil,4
clack,3
claim,4
clamp,5
clang,4
clank,4
clash,3
clasp,4
class,2
clean,5
clear,4
cleat,4
cleft,3
clerk,3
click,4
cliff,4
climb,4
cling,3
clink,4
cloak,3
clock,4
clone,3
close,4
cloth,4
cloud,5
clout,4
clove,4
clown,4
cluck,4
clued,4
clump,4
clung,4
coach,4
coast,4
cobra,3
cocoa,3
colon,4
color,3
comet,3
comfy,6
comic,4
comma,4
conch,4
condo,4
conic,3
copse,5
coral,2
corer,2
corny,4
couch,4
cough,4
could,4
count,4
coupe,4
court,3
coven,2
cover,4
covet,3
covey,4
cower,3
coyly,5
crack,3
craft,4
cramp,5
crane,3
crank,4
crash,3
crass,4
crate,4
crave,5
crawl,3
craze,6
crazy,6
creak,4
cream,3
credo,3
creed,3
creek,4
creep,5
creme,3
crepe,4
crept,3
cress,2
crest,3
crick,3
cried,3
crier,3
crime,4
crimp,4
crisp,3
croak,3
crock,3
crone,5
crony,4
crook,2
cross,4
croup,5
crowd,3
crown,4
crude,3
cruel,3
crumb,4
crump,3
crush,3
crust,2
crypt,4
cubic,4
cumin,4
curio,3
curly,3
curry,4
curse,2
curve,3
curvy,5
cutie,3
cyber,4
cycle,3
cynic,3
daddy,4
daily,4
dairy,3
daisy,4
dally,5
dance,4
dandy,4
datum,4
daunt,4
dealt,3
death,4
debar,4
debit,3
debug,4
debut,4
decal,4
decay,4
decor,4
decoy,3
decry,3
defer,3
deign,4
deity,4
delay,4
delta,4
delve,4
demon,4
demur,3
denim,4
dense,3
depot,4
depth,4
derby,4
deter,3
detox,5
deuce,3
devil,3
diary,4
dicey,4
digit,5
dilly,4
dimly,4
diner,3
dingo,3
dingy,4
diode,4
dirge,3
dirty,3
disco,5
ditch,4
ditto,4
ditty,4
diver,4
dizzy,5
dodge,3
dodgy,4
dogma,4
doing,4
dolly,5
donor,4
donut,4
dopey,4
doubt,3
dough,4
dowdy,4
dowel,5
downy,3
dowry,4
dozen,4
draft,5
drain,5
drake,4
drama,3
drank,4
drape,5
drawl,5
drawn,5
dread,5
dream,4
dress,3
dried,4
drier,3
drift,5
drill,4
drink,3
drive,3
droit,5
droll,4
drone,3
drool,5
droop,4
dross,4
drove,4
drown,5
druid,4
drunk,4
dryer,3
dryly,4
duchy,5
dully,4
dummy,5
dumpy,4
dunce,3
dusky,4
dusty,3
dutch,5
duvet,3
dwarf,5
dwell,3
dwelt,4
dying,3
eager,2
eagle,2
early,2
earth,3
easel,2
eaten,2
eater,3
ebony,4
eclat,3
edict,3
edify,3
eerie,3
egret,3
eight,4
eject,3
eking,4
elate,3
elbow,3
elder,4
elect,4
elegy,3
elfin,4
elide,3
elite,4
elope,3
elude,4
email,3
embed,3
ember,4
emcee,3
empty,4
enact,3
endow,4
enema,2
enemy,4
enjoy,3
ennui,4
ensue,3
enter,4
entry,3
envoy,4
epoch,4
epoxy,4
equal,4
equip,5
erase,2
erect,3
erode,3
error,3
erupt,4
essay,3
ester,2
ether,4
ethic,4
ethos,3
etude,4
evade,3
event,4
every,2
evict,3
evoke,4
exact,4
exalt,4
excel,3
exert,3
exile,4
exist,3
expel,4
extol,4
extra,4
exult,3
eying,3
fable,4
facet,3
faint,4
fairy,4
faith,4
false,3
fancy,3
fanny,3
farce,4
fatal,4
fatty,5
fault,4
fauna,4
favor,5
feast,4
fecal,5
feign,4
fella,4
felon,4
femme,5
femur,4
fence,3
feral,2
ferry,4
fetal,4
fetch,4
fetid,3
fetus,4
fever,3
fewer,4
fiber,4
ficus,4
field,3
fiend,3
fiery,3
fifth,4
fifty,5
fight,4
filer,5
filet,4
filly,5
filmy,4
filth,5
final,3
finch,5
finer,3
first,4
fishy,3
fixer,6
fizzy,5
fjord,4
flack,5
flail,4
flair,3
flake,4
flaky,4
flame,5
flank,5
flare,4
flash,3
flask,4
fleck,4
fleet,3
flesh,4
flick,4
flier,4
fling,4
flint,4
flirt,3
float,4
flock,4
flood,4
floor,3
flora,3
floss,3
flour,4
flout,4
flown,5
fluff,4
fluid,5
fluke,4
flume,3
flung,4
flunk,4
flush,4
flute,5
flyer,5
foamy,4
focal,4
focus,3
foggy,5
foist,3
folio,4
folly,6
foray,4
force,3
forge,2
forgo,3
forte,4
forth,3
forty,2
forum,4
found,4
foyer,7
frail,4
frame,5
frank,5
fraud,6
freak,5
freed,3
freer,2
fresh,3
friar,4
fried,5
frill,5
frisk,4
fritz,5
frock,3
frond,5
front,4
frost,3
froth,5
frown,6
froze,6
fruit,5
fudge,3
fugue,4
fully,5
fungi,4
funky,4
funny,3
furor,3
furry,3
fussy,3
fuzzy,6
gaffe,4
gaily,4
gamer,4
gamma,4
gamut,5
gassy,3
gaudy,4
gauge,3
gaunt,5
gauze,4
gavel,3
gawky,5
gayer,3
gayly,5
gazer,5
gecko,4
geeky,4
geese,2
genie,3
genre,3
ghost,4
ghoul,4
giant,4
giddy,5
gipsy,3
girly,4
girth,4
given,3
giver,4
glade,4
gland,5
glare,5
glass,3
glaze,6
gleam,5
glean,4
glide,3
glint,4
gloat,5
globe,3
gloom,5
glory,4
gloss,4
glove,4
glyph,3
gnash,5
gnome,3
godly,4
going,5
golem,4
golly,5
gonad,4
goner,8
goody,4
gooey,5
goofy,5
goose,2
gorge,3
gouge,3
gourd,4
grace,4
grade,3
graft,4
grail,5
grain,3
grand,4
grant,5
grape,4
graph,5
grasp,4
grass,3
grate,5
grave,6
gravy,6
graze,7
great,5
greed,5
green,4
greet,5
grief,4
grill,6
grime,5
grimy,4
grind,4
gripe,3
groan,4
groin,5
groom,4
grope,3
gross,5
group,4
grout,5
grove,4
growl,3
grown,4
gruel,4
gruff,5
grunt,4
guard,3
guava,3
guess,3
guest,3
guide,3
guild,5
guile,2
guilt,4
guise,3
gulch,4
gully,6
gumbo,3
gummy,6
guppy,5
gusto,3
gusty,4
gypsy,4
habit,5
hairy,5
halve,3
handy,5
happy,6
hardy,3
harem,3
harpy,4
harry,3
harsh,2
haste,4
hasty,3
hatch,5
hater,4
haunt,6
haute,4
haven,3
havoc,4
hazel,4
heady,4
heard,3
heart,4
heath,5
heave,2
heavy,5
hedge,3
hefty,4
heist,3
helix,4
hello,4
hence,4
heron,4
hilly,6
hinge,4
hippo,4
hippy,4
hitch,4
hoard,5
hobby,3
hoist,4
holly,4
homer,5
honey,4
honor,5
horde,4
horny,5
horse,3
hotel,4
hotly,5
hound,5
house,3
hovel,3
hover,4
howdy,5
human,4
humid,5
humor,4
humph,4
humus,3
hunch,4
hunky,5
hurry,4
husky,5
hussy,4
hutch,4
hydro,4
hyena,4
hymen,4
hyper,5
icily,5
icing,4
ideal,4
idiom,4
idiot,4
idler,3
idyll,4
igloo,4
iliac,4
image,4
imbue,3
impel,4
imply,4
inane,3
inbox,3
incur,3
index,4
inept,4
inert,3
infer,3
ingot,4
inlay,4
inlet,4
inner,4
input,4
inter,5
intro,4
ionic,4
irate,6
irony,5
islet,3
issue,3
itchy,5
ivory,4
jaunt,7
jazzy,7
jelly,4
jerky,3
jetty,4
jewel,3
jiffy,6
joint,4
joist,5
joker,5
jolly,7
joust,4
judge,5
juice,3
juicy,6
jumbo,4
jumpy,5
junta,4
junto,4
juror,4
kappa,4
karma,3
kayak,4
kebab,4
khaki,4
kinky,3
kiosk,4
kitty,5
knack,4
knave,4
knead,4
kneed,4
kneel,4
knelt,3
knife,4
knock,4
knoll,5
known,4
koala,3
krill,3
label,3
labor,5
laden,3
ladle,4
lager,4
lance,4
lanky,5
lapel,4
lapse,4
large,3
larva,4
lasso,3
latch,6
later,5
lathe,4
latte,5
laugh,4
layer,4
leach,5
leafy,3
leaky,4
leant,4
leapt,5
learn,4
lease,3
leash,3
least,2
leave,3
ledge,4
leech,3
leery,3
lefty,3
legal,3
leggy,4
lemon,4
lemur,5
leper,5
level,3
lever,4
libel,4
liege,4
light,5
liken,4
lilac,4
limbo,4
limit,5
linen,5
liner,4
lingo,4
lipid,4
lithe,3
liver,5
livid,5
llama,3
loamy,4
loath,3
lobby,4
local,5
locus,4
lodge,3
lofty,4
logic,5
login,3
loopy,4
loose,3
lorry,4
loser,3
louse,4
lousy,3
lover,5
lower,4
lowly,5
loyal,4
lucid,4
lucky,4
lumen,4
lumpy,4
lunar,4
lunch,5
lunge,4
lupus,3
lurch,3
lurid,4
lusty,5
lying,4
lymph,4
lyric,3
macaw,4
macho,4
macro,3
madam,4
madly,4
mafia,3
magic,5
magma,4
maize,3
major,3
maker,5
mambo,4
mamma,5
mammy,8
manga,4
mange,4
mango,3
mangy,3
mania,4
manic,3
manly,4
manor,4
maple,5
march,3
marry,4
marsh,3
mason,3
masse,3
match,3
matey,4
mauve,2
maxim,4
maybe,6
mayor,5
mealy,4
meant,4
meaty,4
mecca,4
medal,5
media,5
medic,4
melee,2
melon,5
mercy,3
merge,3
merit,3
merry,2
metal,5
meter,4
metro,3
micro,3
midge,4
midst,3
might,6
milky,5
mimic,5
mince,3
miner,5
minim,4
minor,4
minty,5
minus,3
mirth,5
miser,3
missy,3
mocha,4
modal,5
model,4
modem,4
mogul,4
moist,4
molar,3
moldy,5
money,5
month,5
moody,5
moose,4
moral,3
moron,4
morph,3
mossy,4
motel,3
motif,4
motor,4
motto,5
moult,4
mound,3
mount,4
mourn,4
mouse,5
mouth,4
mover,6
movie,4
mower,5
mucky,5
mucus,3
muddy,6
mulch,5
mummy,4
munch,3
mural,3
murky,5
mushy,3
music,3
musky,4
musty,5
myrrh,4
nadir,3
naive,4
nanny,4
nasal,4
nasty,4
natal,4
naval,4
navel,4
needy,3
neigh,4
nerdy,5
nerve,3
never,5
newer,5
newly,4
nicer,4
niche,4
niece,3
night,4
ninja,4
ninny,4
ninth,3
noble,4
nobly,3
noise,5
noisy,4
nomad,3
noose,5
north,3
nosey,3
notch,4
novel,3
nudge,6
nurse,3
nutty,4
nylon,3
nymph,3
oaken,3
