answer,guesses
aback,4
abase,3
abate,3
abbey,4
abbot,3
abhor,4
abide,4
abled,4
abode,3
abort,3
about,4
above,3
abuse,4
abyss,3
acorn,3
acrid,4
actor,4
acute,3
adage,4
adapt,4
adept,4
admin,4
admit,4
adobe,3
adopt,4
adore,2
adorn,3
adult,4
affix,4
afire,3
afoot,3
afoul,4
after,3
again,3
agape,4
agate,3
agent,4
agile,4
aging,4
aglow,3
agony,4
agree,3
ahead,3
aider,4
aisle,4
alarm,3
album,4
alert,3
algae,3
alibi,3
alien,3
align,3
alike,4
alive,4
allay,4
alley,4
allot,3
allow,4
alloy,4
aloft,4
alone,3
along,4
aloof,3
aloud,4
alpha,4
altar,4
alter,3
amass,3
amaze,3
amber,4
amble,4
amend,4
amiss,4
amity,4
among,4
ample,4
amply,4
amuse,3
angel,3
anger,4
angle,4
angry,4
angst,3
anime,4
ankle,4
annex,3
annoy,4
annul,4
anode,3
antic,3
anvil,4
aorta,3
apart,3
aphid,4
aping,4
apnea,3
apple,4
apply,4
apron,3
aptly,4
arbor,4
ardor,4
arena,3
argue,3
arise,3
armor,3
aroma,3
arose,2
array,3
arrow,3
arson,2
artsy,3
ascot,3
ashen,3
aside,4
askew,3
assay,4
asset,3
atoll,3
atone,3
attic,3
audio,4
audit,4
augur,4
aunty,4
avail,4
avert,3
avian,3
avoid,4
await,3
awake,4
award,3
aware,3
awash,3
awful,4
awoke,3
axial,4
axiom,4
axion,4
azure,3
bacon,4
badge,4
badly,4
bagel,4
baggy,4
baker,5
baler,4
balmy,4
banal,4
banjo,4
barge,3
baron,3
basal,4
basic,4
basil,3
basin,3
basis,4
baste,4
batch,4
bathe,3
baton,3
batty,4
bawdy,4
bayou,4
beach,4
beady,3
beard,4
beast,3
beech,4
beefy,4
befit,3
began,4
begat,4
beget,3
begin,4
begun,4
being,4
belch,4
belie,3
belle,4
belly,4
below,3
bench,4
beret,4
berry,4
berth,4
beset,4
betel,3
bevel,4
bezel,4
bible,3
bicep,4
biddy,4
bigot,4
bilge,4
billy,5
binge,4
bingo,4
biome,4
birch,4
birth,4
bison,3
bitty,5
black,4
blade,4
blame,4
bland,4
blank,4
blare,3
blast,4
blaze,3
bleak,4
bleat,4
bleed,4
bleep,4
blend,4
bless,3
blimp,3
blind,4
blink,4
bliss,3
blitz,3
bloat,4
block,4
bloke,3
blond,3
blood,4
bloom,4
blown,4
bluer,4
bluff,4
blunt,3
blurb,3
blurt,3
blush,4
board,3
boast,3
bobby,5
boney,4
bongo,4
bonus,3
booby,5
boost,3
booth,4
booty,3
booze,3
boozy,5
borax,3
borne,3
bosom,3
bossy,3
botch,4
bough,4
boule,3
bound,4
bowel,4
boxer,5
brace,4
braid,3
brain,4
brake,5
brand,4
brash,3
brass,3
brave,5
bravo,2
brawl,4
brawn,4
bread,4
break,4
breed,4
briar,4
bribe,4
brick,4
bride,4
brief,4
brine,4
bring,4
brink,4
briny,4
brisk,4
broad,4
broil,3
broke,4
brood,5
brook,5
broom,5
broth,4
brown,4
brunt,4
brush,3
brute,4
buddy,5
budge,5
buggy,4
bugle,3
build,4
built,4
bulge,4
bulky,4
bully,4
bunch,4
bunny,4
burly,4
burnt,4
burst,3
bused,3
bushy,4
butch,4
butte,3
buxom,4
buyer,4
bylaw,4
cabal,4
cabby,4
cabin,3
cable,4
cacao,3
cache,4
cacti,3
caddy,4
cadet,4
cagey,4
cairn,3
camel,3
cameo,3
canal,3
candy,3
canny,3
canoe,3
canon,3
caper,4
caput,3
carat,4
cargo,3
carol,4
carry,3
carve,3
caste,4
catch,4
cater,4
catty,4
caulk,4
cause,4
cavil,3
cease,3
cedar,4
cello,4
chafe,4
chaff,4
chain,3
chair,3
chalk,3
champ,4
chant,3
chaos,2
chard,3
charm,4
chart,3
chase,3
chasm,3
cheap,4
cheat,4
check,4
cheek,4
cheer,5
chess,3
chest,3
chick,3
chide,4
chief,4
child,4
chili,4
chill,4
chime,4
china,3
chirp,3
chock,3
choir,3
choke,4
chord,3
chore,3
chose,3
chuck,4
chump,4
chunk,3
churn,3
chute,4
cider,4
cigar,4
cinch,4
circa,3
civic,4
civil,3
clack,3
claim,3
clamp,3
clang,3
clank,3
clash,3
clasp,4
class,4
clean,3
clear,3
cleat,3
cleft,4
clerk,4
click,4
cliff,4
climb,4
cling,4
clink,4
cloak,3
clock,4
clone,3
close,3
cloth,3
cloud,4
clout,3
clove,4
clown,3
cluck,4
clued,4
clump,4
clung,3
coach,3
coast,3
cobra,2
cocoa,4
colon,3
color,3
comet,3
comfy,3
comic,4
comma,3
conch,4
condo,4
conic,4
copse,3
coral,3
corer,5
corny,3
couch,4
cough,4
could,3
count,3
coupe,3
court,3
coven,4
cover,5
covet,3
covey,4
cower,4
coyly,3
crack,4
craft,3
cramp,4
crane,4
crank,3
crash,3
crass,3
crate,3
crave,4
crawl,3
craze,4
crazy,4
creak,4
cream,4
credo,3
creed,4
creek,4
creep,4
creme,3
crepe,3
crept,4
cress,3
crest,3
crick,4
cried,4
crier,3
crime,4
crimp,4
crisp,3
croak,4
crock,4
crone,3
crony,3
crook,4
cross,3
croup,3
crowd,4
crown,3
crude,3
cruel,4
crumb,4
crump,4
crush,3
crust,3
crypt,3
cubic,4
cumin,4
curio,3
curly,4
curry,3
curse,3
curve,3
curvy,4
cutie,3
cyber,4
cycle,4
cynic,4
daddy,4
daily,4
dairy,4
daisy,3
dally,4
dance,4
dandy,4
datum,4
daunt,5
dealt,3
death,3
debar,4
debit,4
debug,4
debut,4
decal,4
decay,3
decor,3
decoy,3
decry,3
defer,4
deign,3
deity,4
delay,4
delta,4
delve,4
demon,3
demur,3
denim,3
dense,3
depot,4
depth,4
derby,3
deter,4
detox,4
deuce,4
devil,4
diary,3
dicey,3
digit,4
dilly,4
dimly,4
diner,4
dingo,4
dingy,4
diode,4
dirge,4
dirty,4
disco,3
ditch,4
ditto,3
ditty,4
diver,4
dizzy,4
dodge,3
dodgy,4
dogma,4
doing,4
dolly,4
donor,4
donut,4
dopey,4
doubt,4
dough,4
dowdy,5
dowel,4
downy,5
dowry,3
dozen,4
draft,4
drain,4
drake,4
drama,4
drank,4
drape,4
drawl,4
drawn,4
dread,5
dream,5
dress,4
dried,3
drier,3
drift,3
drill,4
drink,4
drive,4
droit,4
droll,4
drone,3
drool,4
droop,4
dross,3
drove,4
drown,4
druid,4
drunk,3
dryer,3
dryly,4
duchy,4
dully,4
dummy,5
dumpy,5
dunce,4
dusky,4
dusty,4
dutch,4
duvet,3
dwarf,3
dwell,3
dwelt,3
dying,4
eager,5
eagle,3
early,3
earth,3
easel,3
eaten,4
eater,4
ebony,4
eclat,3
edict,3
edify,4
eerie,3
egret,4
eight,4
eject,4
eking,4
elate,4
elbow,3
elder,4
elect,4
elegy,3
elfin,4
elide,3
elite,3
elope,3
elude,4
email,3
embed,4
ember,4
emcee,4
empty,4
enact,4
endow,4
enema,4
enemy,3
enjoy,4
ennui,3
ensue,3
enter,5
entry,3
envoy,4
epoch,4
epoxy,4
equal,4
equip,4
erase,2
erect,4
erode,4
error,3
erupt,4
essay,3
ester,3
ether,4
ethic,4
ethos,3
etude,4
evade,5
event,3
every,3
evict,4
evoke,4
exact,4
exalt,4
excel,4
exert,3
exile,4
exist,4
expel,4
extol,3
extra,3
exult,4
eying,4
fable,4
facet,3
faint,4
fairy,4
faith,4
false,4
fancy,3
fanny,4
farce,3
fatal,4
fatty,4
fault,4
fauna,4
favor,4
feast,3
fecal,4
feign,4
fella,4
felon,4
femme,4
femur,4
fence,4
feral,4
ferry,3
fetal,4
fetch,4
fetid,4
fetus,3
fever,5
fewer,5
fiber,5
ficus,4
field,4
fiend,4
fiery,3
fifth,4
fifty,4
fight,4
filer,4
filet,4
filly,5
filmy,4
filth,4
final,4
